title;author_info;rating;pros;cons;date
Arbeitgeber Ok als Sprungbrett, aber auf Langer Sicht wird man zum Zombie!;Mitarbeiter im Bereich Anonym in Würzburg, Deutschland;3.0;Der Zusammenhalt zwischen Kollegen Innerhalb der Gruppe und auch Einheitsübergreifend. Das die Kollegen einen Zuhören.;Von den Vorgesetzten mehr Wertschätzung. Mehr Förderung der Mitarbeiter. Mehr Toleranz bei Problemen und Verbesserungen.;30. Dez 20
Schöne Zeit bei BASF;Mitarbeiter im Bereich Keine Disziplin in Ludwigshafen am Rhein, Deutschland;4.0;Unfassbar vielfältiger Standort, spannende Chemie, beeindruckende Verfahrenstechnik und Dimensionen - vermutlich einzigartig in Deutschland oder Europa;Unfassbar vielfältiger Standort, spannende Chemie, beeindruckende Verfahrenstechnik und Dimensionen - vermutlich einzigartig in Deutschland oder Europa;2017
Tolle Produkte und nettes Team;Mitarbeiter im Bereich Personal in Grenzach-Wyhlen, Deutschland;4.0;Tolles Team, guter Zusammenhalt am Standort, spannende Aufgaben, viele EInblicke auch über den Tellerand hinau;"Die Kantine könnte bessere Angebote haben ;-) Starke Konkurrenz aus der Schweiz, was Stellen angeht.";2018
Momentan in vielen Bereichen im Umbruch;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;3.0;Ein gutes Team, welches sich unterstützt. Viele Freiheiten vom Vorgesetzten. Anspruchsvolle Aufgaben. Gute Angebote am Standort zur Fortbildung, nur leider wenig Zeit dafür.;Hirarchiestrukturen sind sehr ausgeprägt. Lange Entscheidungswege. Wertschätzung wird zwar kommuniziert, führt aber nicht immer auch zu Handlungen. Work-Life-Balance ist wenig ausgeprägt. Stärkere Aufstiegschancen für Frauen sollten etabliert werden;2018
BASF SE: sehr gute Wahl für jeden, der mit Großkonzernen kein Problem hat.;Mitarbeiter im Bereich IT in Ludwigshafen am Rhein, Deutschland;4.0;Flexibilität und kooperativen Stamm an Kollegen. Führungskräfte, welche Mitarbeiter fordern und fördern. Die Tätigkeit war breit gefächert und immer interessant.;Gelegentlich fehlt die Dynamik. Das Unternehmen ist wie für einen Großkonzern üblich nicht sehr flexibel. Prozesse erschweren die Entwicklung;2020
Großkonzern statt Große Familie;Chemikant/in in Ludwigshafen am Rhein, Deutschland;2.0;Das gute Gehalt, den relativ sicheren Arbeitsplatz (falls unbefristeter Arbeitsvertrag vorhanden) und die gute Ereichbarkeit mit öffentlichen Verkehrsmitteln.;"Die Mitarbeiter sollten wieder als Menschen und nichtmehr nur als Nummern gesehen werden. ""Meine Anilin"" trifft dort leider nicht mehr zu. Man ist nur ein Rädchen im Getriebe und als solches nur geschätzt wenn es 100% funktioniert. Kündigungen werden unter Vorwänden legitimiert";2020
Mehrjährige Erfahrung;Mitarbeiter im Bereich Vertrieb und Verkauf in Ludwigshafen am Rhein, Deutschland;2.0;Die wenige Arbeit, die man hat und trotzdem wird ein Wunder daraus gemacht. Homeoffice Möglichkeiten.;Betriebsrat verbessern Führungskräfte austauschen Nachwuchs fördern Mehr Flexibilität Weniger Politik Mehr Pragmatismus Bessere Planung Weniger komplexe Arbeitsschritte;2020
Ein fairer Arbeitgeber;Manager in Ludwigshafen am Rhein, Deutschland;5.0;Ich mag die Flexibilität, das Work Life Balance, die netten Kollegen, der Job macht mir Spaß und ich kann Selbstständige Arbeit;Ich finde es schwierig mit den ständigen Verschiebungen der Strukturen umzugehen. Außerdem brauchen die Einheiten nicht alle paar Jahre neue Namen.;2020
Gutes Geld verdienen ist nicht alles in einem Unternehmen.;Mitarbeiter im Bereich Anonym in Hannover, Deutschland;2.0;Gute Bezahlung. Damit erträgt man einiges an Unzulänglichkeiten. Wer allein mit guter Bezahlung zufrieden ist, der ist hier richtig. Wer Gestaltungsmöglichkeiten und Wertschätzung sucht, der sollte sich einen anderen AG suchen.;Work-Life-Balance, Kinderbetreuungsmöglichkeiten, Führungsverhalten, Home Office Möglichkeit, Wertschätzung der Mitarbeiter, Unternehmerisches Handeln, Ausbildungsquote, Umgang mit Ressourcen, ...; 1. Dezember 2020
gut;Mitarbeiter im Bereich Medien in Ludwigshafen am Rhein, Deutschland;4.0;gute Bezahlung, tarifliche Extras, Benefits am Arbeitsplatz;Einführung des Jobtickets, flexiblere Arbeitszeiten;2017
